0;Normal;Normal-D;Magic;Magic-D;Mithril;Mithril-D;Holy Arms;Holy Arms-D;Slaying;Slaying-D
1;You strike the terrible beast hard. Your weapon breaks in half.;+10H;Magic;Magic-D;Mithril;Mithril-D;Holy Arms;Holy Arms-D;Slaying;Slaying-D
2;You strike the terrible beast hard. Your weapon breaks in half.;+10H;Magic;Magic-D;Mithril;Mithril-D;Holy Arms;Holy Arms-D;Slaying;Slaying-D
3;You strike the terrible beast hard. Your weapon breaks in half.;+10H;Magic;Magic-D;Mithril;Mithril-D;Holy Arms;Holy Arms-D;Slaying;Slaying-D
4;You strike the terrible beast hard. Your weapon breaks in half.;+10H;Magic;Magic-D;Mithril;Mithril-D;Holy Arms;Holy Arms-D;Slaying;Slaying-D
5;A decoration pops off your weapon with impact to foe's side.;+2H;Magic;Magic-D;Mithril;Mithril-D;Holy Arms;Holy Arms-D;Slaying;Slaying-D
6;A decoration pops off your weapon with impact to foe's side.;+2H;Magic;Magic-D;Mithril;Mithril-D;Holy Arms;Holy Arms-D;Slaying;Slaying-D
7;A decoration pops off your weapon with impact to foe's side.;+2H;Magic;Magic-D;Mithril;Mithril-D;Holy Arms;Holy Arms-D;Slaying;Slaying-D
8;A decoration pops off your weapon with impact to foe's side.;+2H;Magic;Magic-D;Mithril;Mithril-D;Holy Arms;Holy Arms-D;Slaying;Slaying-D
9;A decoration pops off your weapon with impact to foe's side.;+2H;Magic;Magic-D;Mithril;Mithril-D;Holy Arms;Holy Arms-D;Slaying;Slaying-D
10;A decoration pops off your weapon with impact to foe's side.;+2H;Magic;Magic-D;Mithril;Mithril-D;Holy Arms;Holy Arms-D;Slaying;Slaying-D
11;You are daunted by the beast's gaze and swing weakly.;+3H;Magic;Magic-D;Mithril;Mithril-D;Holy Arms;Holy Arms-D;Slaying;Slaying-D
12;You are daunted by the beast's gaze and swing weakly.;+3H;;;;;;;;
13;You are daunted by the beast's gaze and swing weakly.;+3H;;;;;;;;
14;You are daunted by the beast's gaze and swing weakly.;+3H;;;;;;;;
15;You are daunted by the beast's gaze and swing weakly.;+3H;;;;;;;;
16;You are daunted by the beast's gaze and swing weakly.;+3H;;;;;;;;
17;You are daunted by the beast's gaze and swing weakly.;+3H;;;;;;;;
18;You are daunted by the beast's gaze and swing weakly.;+3H;;;;;;;;
19;You are daunted by the beast's gaze and swing weakly.;+3H;;;;;;;;
20;You are daunted by the beast's gaze and swing weakly.;+3H;;;;;;;;
21;This terrible creature's hide deflects the strongest blows.;+4H;;;;;;;;
22;This terrible creature's hide deflects the strongest blows.;+4H;;;;;;;;
23;This terrible creature's hide deflects the strongest blows.;+4H;;;;;;;;
24;This terrible creature's hide deflects the strongest blows.;+4H;;;;;;;;
25;This terrible creature's hide deflects the strongest blows.;+4H;;;;;;;;
26;This terrible creature's hide deflects the strongest blows.;+4H;;;;;;;;
27;This terrible creature's hide deflects the strongest blows.;+4H;;;;;;;;
28;This terrible creature's hide deflects the strongest blows.;+4H;;;;;;;;
29;This terrible creature's hide deflects the strongest blows.;+4H;;;;;;;;
30;This terrible creature's hide deflects the strongest blows.;+4H;;;;;;;;
31;Solid strike to foe's side with your common weapon fails to penetrate.;+5H;;;;;;;;
32;Solid strike to foe's side with your common weapon fails to penetrate.;+5H;;;;;;;;
33;Solid strike to foe's side with your common weapon fails to penetrate.;+5H;;;;;;;;
34;Solid strike to foe's side with your common weapon fails to penetrate.;+5H;;;;;;;;
